GEOID,population_density,population,median_age,below_poverty_level,median_income,average_household_size
12095014503,8431.115025,5449,32.90000153,989,29842,2.309999943
12117021613,5466.139508,3546,33.70000076,351,55750,2.190000057
12053041304,3056.107607,1930,71.09999847,174,45250,1.940000057
12129010100,17.1975012,5400,46.79999924,1120,49284,2.430000067
12009071340,1648.263929,13662,37.70000076,1556,54382,3
12109021404,1899.168145,3018,58.79999924,410,72604,2.210000038
12057002100,6531.184863,3317,32.59999847,894,51107,2.99000001
12061050601,2275.686272,2476,61,244,42713,1.889999986
12081000307,5026.947533,3262,32.29999924,966,41795,2.960000038
12031002502,4681.579738,3772,37.09999847,451,52826,2.430000067
12099002200,6966.19172,2308,32.40000153,811,26968,3.049999952
12101032112,4083.406789,4124,37.29999924,393,86856,2.970000029
12057013317,3867.461123,2700,30.10000038,942,51702,2.24000001
12099008002,720.6703995,4673,34,1857,23966,3.059999943
12103025205,3788.998194,3848,60.29999924,161,77004,2.130000114
12127082705,707.7554398,2375,65.59999847,134,63588,1.850000024
12099001101,5721.536641,6878,37.20000076,835,68884,3.940000057
12103028402,4304.537904,1320,55.29999924,181,45972,1.850000024
12069031311,272.5104243,21441,34.09999847,2931,54918,2.920000076
12115002603,1332.279668,1840,61,160,45417,2.140000105
12099004013,6417.595412,3392,61,589,26472,1.960000038
12009071332,786.8293709,14535,32.59999847,2466,57556,3.420000076
12015030503,769.2586644,6107,65.90000153,527,59606,2.180000067
12103025019,3560.255411,2261,52.29999924,477,38309,2.00999999
12099007603,3344.373429,2341,46.70000076,106,90938,2.609999895
12103025412,4714.023383,5056,39.09999847,295,50049,2.339999914
12086014800,12105.77652,6448,45,1046,35577,3.440000057
12105011833,2955.056124,7896,39,403,93942,3.190000057
12103026820,5994.430576,4613,62.20000076,434,38661,1.769999981
12009065231,213.7711493,5951,50.29999924,477,69178,2.650000095
12069030308,1402.468956,3962,56.70000076,249,45670,2.210000038
12097043400,4848.843825,5756,30,1785,47763,3.269999981
12031012300,3810.564109,3990,38.09999847,740,40679,2.380000114
12091021102,2983.824774,7824,38.90000153,454,73575,2.579999924
